name,state,city,address,latitude,longitude,Charging Type,Supported Vehicle Types,access hours,Pricing Information,Amenities
"Goyal Coal Sizing, Pendridih",Chhattisgarh,Bilaspur,"Village: Sara Pendridih Seepat, Bilaspur By-Pass, Chhattisgarh 495330",22.0136612,82.0487988,AC Fast Charging,EV1,24-Jul,?10 k/Wh,"Wifi, Parking"
Roy ka rasoi,West Bengal,siliguri,"Netaji Subhas Road, Ward 20, Subhas Pally, Siliguri, West Bengal",26.7055489,88.4380447,AC Fast Charging,EV1,24-Jul,?7 k/Wh,"Wifi, Parking"
GJ | Chikhali | Chikhli - Hotel Empire,Gujarat,Gujarat,"Hotel Empire, PO- Rola, Via- Dungri, NH-8, Gujarat 396375",20.6909,72.9496,"Hotel Empire, PO- Rola, Via- Dungri, NH-8, Gujarat 396375",DC Fast Charging,24-Jul,24-Jul,?11 k/Wh
"Ather Space, Kochi",Kerala,kochi,"Ponnurunni-Chalikkavattom Rd, Ponnurunni East, Ponnurunni, Vyttila, Ernakulam, Kerala ",9.98014,76.3173646,DC Fast Charging,EV2,24-Jul,?9 k/Wh,"Wifi, Parking"
AtherSpace Mysore,Karnataka,mysore,"#1A, A1, Hunsur Main Rd, Hinkal",12.325053,76.611337,DC Fast Charging,EV2,24-Jul,?10 k/Wh,"Wifi, Parking"
Irani Chai,Karnataka,bengaluru,"294, 15th Cross Rd, Sector 4, HSR Layout, Bengaluru",12.91371,77.644164,AC Fast Charging,EV1,24-Jul,?8 k/Wh,"No Wifi, No Parking"
M's Street,Tamil Nadu,chennai,"N0, 396/1, Mambakkam - Medavakkam Main Rd, Munusamy Nagar, Vimala Nagar, Medavakkam",12.9149592,80.1920666,AC Fast Charging,EV1,24-Jul,?8 k/Wh,"Wifi, Parking"
Radisson Bengaluru City Center,Karnataka,bengaluru,"2, Gangadhar Chetty Rd, Yellappa Chetty Layout, Sivanchetti Gardens, Halasuru",12.976339,77.619717,AC Fast Charging,EV1,24-Jul,?8 k/Wh,"Wifi, Parking"
Hotel Kuppana,Andhra Pradesh,tirupati,"5th Cross Rd, Tirumala Reddy Nagar, Mangalam, Tirupati, Andhra Pradesh 517507",13.648073,79.446494,DC Fast Charging,EV2,24-Jul,?10 k/Wh,"Wifi, Parking"
Ather Space Vijayawada,Andhra Pradesh,vijayawada,"KP Nagar Main Rd, Gurunanak Nagar, K P Nagar, Benz Circle, Vijayawada, Andhra Pradesh ",16.5007264,80.6574292,DC Fast Charging,EV2,24-Jul,?10 k/Wh,"Wifi, Parking"
Flip Side,Andhra Pradesh,hyderabad,"ISB Rd, Financial District, Nanakramguda, Hyderabad, Telangana",17.4139784,78.3275492,AC Fast Charging,EV1,24-Jul,?9 k/Wh,"Wifi, Parking"
